ticker,name,sector
MS,MORGAN STANLEY,Financial Services
MSFT,MICROSOFT CORP,Technology
MSTR,STRATEGY INC,Technology
MU,MICRON TECHNOLOGY INC,Technology
NBIS,NEBIUS GROUP NV,Communication Services
NEE,NEXTERA ENERGY INC,Utilities
NEM,NEWMONT CORP,Basic Materials
NET,CLOUDFLARE INC,Technology
NFLX,NETFLIX INC,Communication Services
NKE,NIKE INC,Consumer Cyclical
NOK,NOKIA CORP,Technology
NOW,SERVICENOW INC,Technology
NU,NU HOLDINGS LTD,Financial Services
NVDA,NVIDIA CORP,Technology
NXPI,NXP SEMICONDUCTORS NV,Technology
ON,ON SEMICONDUCTOR CORP,Technology
ORCL,ORACLE CORP,Technology
PANW,PALO ALTO NETWORKS INC,Technology
PATH,UIPATH INC,Technology
PEP,PEPSICO INC,Consumer Defensive
PFE,PFIZER INC,Healthcare
PG,PROCTER & GAMBLE CO,Consumer Defensive
PLTR,PALANTIR TECHNOLOGIES INC,Technology
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Defensive
PWR,QUANTA SERVICES INC,Industrials
QCOM,QUALCOMM INC,Technology
RKLB,ROCKET LAB CORP,Industrials
RTX,RTX CORP,Industrials
SBUX,STARBUCKS CORP,Consumer Cyclical
SCHW,SCHWAB CHARLES CORP,Financial Services
SHOP,SHOPIFY INC,Technology
SKHY,SK HYNIX INC,Technology
SMCI,SUPER MICRO COMPUTER INC,Technology
SNDK,SANDISK CORP,Technology
SNOW,SNOWFLAKE INC,Technology
SNPS,SYNOPSYS INC,Technology
SOFI,SOFI TECHNOLOGIES INC,Financial Services
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP,Industrials
SPGI,S&P GLOBAL INC,Financial Services
SPOT,SPOTIFY TECHNOLOGY SA,Communication Services
STM,STMICROELECTRONICS NV,Technology
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Technology
SYK,STRYKER CORP,Healthcare
T,AT&T INC,Communication Services
TER,TERADYNE INC,Technology
TJX,TJX COMPANIES INC,Consumer Cyclical
TMO,THERMO FISHER SCIENTIFIC INC,Healthcare
TMUS,T-MOBILE US INC,Communication Services
TSLA,TESLA INC,Consumer Cyclical
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Technology
TXN,TEXAS INSTRUMENTS INC,Technology
UBER,UBER TECHNOLOGIES INC,Technology
UNH,UNITEDHEALTH GROUP INC,Healthcare
UNP,UNION PACIFIC CORP,Industrials
V,VISA INC,Financial Services
VLO,VALERO ENERGY CORP,Energy
VRT,VERTIV HOLDINGS CO,Industrials
VZ,VERIZON COMMUNICATIONS INC,Communication Services
WDC,WESTERN DIGITAL CORP,Technology
WFC,WELLS FARGO & COMPANY,Financial Services
WMT,WALMART INC,Consumer Defensive
XOM,EXXON MOBIL CORP,Energy
